country,producer_rank,supplier_rank,production_2018,value_usd_m
Brazil,1,1,62925.0,112.09
Colombia,3,2,13858.0,63.68
Honduras,6,3,7328.0,38.89
Papua New Guinea,17,4,930.0,35.25
Vietnam,2,5,31174.0,32.2
Ethiopia,5,6,7776.0,29.36
India,7,7,5302.0,19.42
Nicaragua,12,8,2510.0,14.13
Peru,10,9,4263.0,13.48
Guatemala,11,10,4007.0,13.25
